method,coverage_80,coverage_90,coverage_95,avg_width,avg_width_80,avg_width_90,avg_width_95,cal_error_80,cal_error_90,cal_error_95,calibration_error,MAE,RMSE,dir_acc,avg_explanation_confidence,avg_predicted_variance_proxy,avg_variance_weighted_explanation_error,interval_scale_80,interval_scale_90,interval_scale_95,subgroup_type,subgroup,n
normalized_conformal_width,0.7678571428571429,0.9464285714285714,0.9642857142857143,0.24827298060822023,0.15969457618278873,0.2329775391234088,0.35214682651846313,0.03214285714285714,0.046428571428571375,0.014285714285714346,0.030952380952380953,0.03961658671843387,0.050511375876255454,0.5892857142857143,0.4899921848870029,0.009958023674554494,0.0008802195240955197,1.0,1.0050000000000001,0.935,surprise_band,high_surprise,56
normalized_conformal_width,0.8562628336755647,0.9404517453798767,0.9630390143737166,0.21591281886818817,0.14668715109333932,0.2117420590015018,0.2893092465097234,0.056262833675564616,0.040451745379876725,0.013039014373716684,0.03658453114305268,0.031589983608180446,0.046602510508590635,0.5441478439425051,0.4850284158274032,0.008281438624408917,0.0006231961725838509,1.0,1.0050000000000001,0.935,surprise_band,low_surprise,487
normalized_conformal_width,0.7588235294117647,0.8764705882352941,0.9529411764705882,0.22064121397301695,0.1532998588269522,0.2098703020338644,0.2987534810582343,0.04117647058823537,0.02352941176470591,0.002941176470588225,0.022549019607843168,0.04005705015887917,0.05635258271540123,0.5117647058823529,0.4838254808869031,0.008242040649103277,0.0007317800756108178,1.0,1.0050000000000001,0.935,surprise_band,medium_surprise,170
normalized_conformal_width,0.8561320754716981,0.9339622641509434,0.9716981132075472,0.25844758970752274,0.18179172661958803,0.2392431568015285,0.35430788570145183,0.05613207547169807,0.03396226415094339,0.02169811320754722,0.037264150943396225,0.036249093142135466,0.04872903669593322,0.5683962264150944,0.483670933513394,0.010420867265412801,0.0008507078670256354,1.0,1.0050000000000001,0.935,volatility_band,high_vol,424
normalized_conformal_width,0.7820069204152249,0.9134948096885813,0.9446366782006921,0.16256075447159582,0.10159454243103448,0.174408227635125,0.21167949334862804,0.01799307958477514,0.0134948096885813,0.005363321799307874,0.012283737024221439,0.03129042874795915,0.05038262818090314,0.4982698961937716,0.48727424499208294,0.0054443222341685965,0.000403084105995343,1.0,1.0050000000000001,0.935,volatility_band,low_vol,289
normalized_conformal_modality,0.8064516129032258,0.9158485273492286,0.9607293127629734,0.20510246232195817,0.12435635625995943,0.19722364379671453,0.2937273869092005,0.006451612903225712,0.01584852734922859,0.010729312762973398,0.011009817671809233,0.03423919972009205,0.04940595680166511,0.5399719495091164,0.4851314622894686,0.008403726292019287,0.0006692727100301873,0.99,1.0050000000000001,0.88,attention_volume_band,medium_attention,713
normalized_conformal_modality,0.6964285714285714,0.8928571428571429,0.9642857142857143,0.23050738037704988,0.13034142441800042,0.21328714552532868,0.34789357118782044,0.10357142857142865,0.0071428571428571175,0.014285714285714346,0.041666666666666706,0.03961658671843387,0.050511375876255454,0.5892857142857143,0.4899921848870029,0.009958023674554494,0.0008802195240955197,0.99,1.0050000000000001,0.88,surprise_band,high_surprise,56
normalized_conformal_modality,0.8418891170431212,0.9363449691991786,0.9630390143737166,0.20180147216028435,0.12241824589687142,0.19626610108063008,0.2867200695033516,0.04188911704312115,0.03634496919917862,0.013039014373716684,0.030424366872005486,0.031589983608180446,0.046602510508590635,0.5441478439425051,0.4850284158274032,0.008281438624408917,0.0006231961725838509,0.99,1.0050000000000001,0.88,surprise_band,low_surprise,487
normalized_conformal_modality,0.7411764705882353,0.8647058823529412,0.9529411764705882,0.20619014936695815,0.1279369205539216,0.194675215596307,0.29595831195064587,0.05882352941176472,0.03529411764705881,0.002941176470588225,0.032352941176470584,0.04005705015887917,0.05635258271540123,0.5117647058823529,0.4838254808869031,0.008242040649103277,0.0007317800756108178,0.99,1.0050000000000001,0.88,surprise_band,medium_surprise,170
normalized_conformal_modality,0.8325471698113207,0.9198113207547169,0.9716981132075472,0.23776943677147303,0.14499147147155847,0.21841988158748132,0.34989695725537934,0.032547169811320664,0.01981132075471692,0.02169811320754722,0.024685534591194935,0.036249093142135466,0.04872903669593322,0.5683962264150944,0.483670933513394,0.010420867265412801,0.0008507078670256354,0.99,1.0050000000000001,0.88,volatility_band,high_vol,424
